1155225,3003128516,"Millstone Medical Outsourcing, LLC",10/22/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1125170,3008275150,A&A Trading and Investment Inc,07/22/2020,Foods,21 CFR 1.512(b)(2),Develop FSVP,You did not develop an FSVP.
1125580,1000523075,"Gilead Sciences, Inc.",07/22/2020,Part 11 Compliance,21 CFR 11,Electronic records,"Electronic records are used, but they do not meet system access limitation requirements to ensure that they are trustworthy, reliable and generally equivalent to paper records."
1125580,1000523075,"Gilead Sciences, Inc.",07/22/2020,Bioresearch Monitoring,21 CFR 312.58(a),FDA access to sponsor records,Failure to permit FDA to have access to and review records or reports related to a clinical investigation.
1126156,3014209177,"PICKLEMEX, LLC",07/22/2020,Foods,21 CFR 1.502(a),"Maintain, follow FSVP",You did not maintain and follow an FSVP.
1125036,3004124418,Vollmer Products International,07/21/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125065,3013274998,Woof Cool Stuff For Dogs,07/21/2020,Foods,21 CFR 1.512(b)(2),Develop FSVP,You did not develop an FSVP.
1125753,3009841929,Universal Pure LLC,07/21/2020,Foods,21 CFR 120.8(b)(3),HACCP plan - critical limits not listed or not adequate,"Your HACCP plan lists a critical limit that does not prevent, eliminate, or reduce to an acceptable level the occurrence of an identified food hazard."
1125753,3009841929,Universal Pure LLC,07/21/2020,Foods,21 CFR 120.8(b)(6),HACCP plan - valid procedures / frequency - none listed,Your HACCP plan does not list the validation procedures that have been developed to ensure that the HACCP plan is adequate to control food hazards that are reasonably likely to occur.
1124942,3007643956,Mega Leader Inc,07/20/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1124951,2000002221,TRETOS & SONS CORPORATION,07/20/2020,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document the evaluation you conducted to determine a foreign supplier's performance.
1124951,2000002221,TRETOS & SONS CORPORATION,07/20/2020,Foods,21 CFR 1.506(b),Supplier verification - establish written procedures,You did not establish written procedures for ensuring that appropriate foreign supplier verification activities are conducted with respect to a food you import.
1124951,2000002221,TRETOS & SONS CORPORATION,07/20/2020,Foods,21 CFR 1.506(e)(1),"Verification activity before import, periodically",You did not conduct and document or obtain documentation of one or more supplier verification activities before importing the food into the United States.
1124984,3011720140,We Bark Out Loud,07/20/2020,Foods,21 CFR 1.512(b)(2),Develop FSVP,You did not develop an FSVP.
1124988,3006342224,Gioia Imports,07/20/2020,Foods,21 CFR 1.512(b)(3)(i),"Very small importer assurances, supplier","As a very small importer, you did not obtain written assurance, every 2 years after initially importing a food, that your foreign supplier produced the food in compliance with process and procedures that provide the required level of public health protection."
1125031,3015359469,TOY'S  WORLD INC DBA DISTRIBUIDORA DEL VALLE,07/20/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1124818,3004248626,"Ciruli Brothers, LLC",07/17/2020,Foods,21 CFR 1.504(a),Hazard analysis written,You did not have a written hazard analysis to identify and evaluate known or reasonably foreseeable hazards.
1124946,3014915118,A&J PRODUCE CORP,07/17/2020,Foods,21 CFR 1.502(a),"Maintain, follow FSVP",You did not follow an FSVP.
1125167,3008390534,"Trenton Trading Company, LLC dba Mexi Brand",07/17/2020,Foods,21 CFR 1.504(a),Hazard analysis written,You did not have a written hazard analysis to identify and evaluate known or reasonably foreseeable hazards to determine whether there are any hazards requiring a control.
1125167,3008390534,"Trenton Trading Company, LLC dba Mexi Brand",07/17/2020,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document your approval of your foreign supplier.
1125167,3008390534,"Trenton Trading Company, LLC dba Mexi Brand",07/17/2020,Foods,21 CFR 1.506(a)(1),Approved supplier procedures - importer established,You did not establish written procedures to ensure that you import foods only from foreign suppliers you have approved based on an evaluation of the foreign supplier's performance and the risk posed by the food.
1125167,3008390534,"Trenton Trading Company, LLC dba Mexi Brand",07/17/2020,Foods,21 CFR 1.506(d)(2),Onsite audit,"For a food that may contain a hazard that will be controlled by the foreign supplier and is one for which there is a reasonable probability that exposure to the hazard will result in serious adverse health consequences or death to humans or animals, you did not conduct and document or obtain documentation of an onsite audit of the foreign supplier before initially importing the food into the United States."
1125167,3008390534,"Trenton Trading Company, LLC dba Mexi Brand",07/17/2020,Foods,21 CFR 1.506(e)(1),"Verification activity before import, periodically",You did not conduct and document or obtain documentation of one or more supplier verification activities before importing the food into the United States.
1124765,3003506315,J&B Distributing Co,07/16/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1124777,3013590422,RONA SALES LLC,07/16/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1124782,3006563663,Premier Food Supplies LLC,07/16/2020,Foods,21 CFR 1.506(b),Supplier verification - establish written procedures,You did not establish adequate written procedures for ensuring that appropriate foreign supplier verification activities are conducted with respect to a food you import.
1124782,3006563663,Premier Food Supplies LLC,07/16/2020,Foods,21 CFR 1.506(d)(1)(i),Verification activity frequency,You did not determine and document the frequency of the verification activities that were needed to provide adequate assurances that a food you obtain from a foreign supplier is produced in compliance with processes and procedures that provide the required level of public health protection.
1124782,3006563663,Premier Food Supplies LLC,07/16/2020,Foods,21 CFR 1.506(d)(2),Onsite audit,"For a food that may contain a hazard that will be controlled by the foreign supplier and is one for which there is a reasonable probability that exposure to the hazard will result in serious adverse health consequences or death to humans or animals, you did not conduct and document or obtain documentation of an onsite audit of the foreign supplier at least annually after importing the food into the United States."
1124791,3014203825,ADVANCED FARM TECHNOLOGY CO,07/16/2020,Foods,21 CFR 1.512(b)(3)(i),"Very small importer assurances, supplier","As a very small importer, you did not obtain written assurance, before importing a food, that your foreign supplier produced the food in compliance with process and procedures that provide the required level of public health protection."
1124827,3012265801,HAPPY PRODUCE INC,07/16/2020,Foods,21 CFR 1.504(b)(1),"Hazard analysis biological, chemical, physical",Your hazard analysis did not include a known or reasonably foreseeable biological hazard that requires a control.
1124827,3012265801,HAPPY PRODUCE INC,07/16/2020,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document the evaluation you conducted to determine a foreign supplier's performance and the risk posed by a food.
1124827,3012265801,HAPPY PRODUCE INC,07/16/2020,Foods,21 CFR 1.505(c)(2),Reevaluate - 3 years,You did not reevaluate the risk posed by a food and the foreign supplier's performance during or at the end of a 3-year period.
1124827,3012265801,HAPPY PRODUCE INC,07/16/2020,Foods,21 CFR 1.508(b),Investigate,You did not document your investigation to determine whether your FSVP is adequate when you determined that a foreign supplier of food that you import does not produce food in compliance with the required processes and procedures.
1124854,3007491136,"Karsh, Lawrence, M.D.",07/16/2020,Bioresearch Monitoring,21 CFR 312.60,"FD-1572, protocol compliance",An investigation was not conducted in accordance with the signed statement of investigator and investigational plan.
1124854,3007491136,"Karsh, Lawrence, M.D.",07/16/2020,Bioresearch Monitoring,21 CFR 312.62(b),Case history records- inadequate or inadequate,Failure to prepare or maintain adequate and accurate case histories with respect to observations and data pertinent to the investigation and informed consent.
1124854,3007491136,"Karsh, Lawrence, M.D.",07/16/2020,Bioresearch Monitoring,21 CFR 312.64(b),Safety reports,"Failure to report promptly to the sponsor adverse effects that may reasonably be regarded as caused by, or probably caused by, an investigational drug."
1125047,3014958297,MAYA GROCERIES LLC,07/16/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1124727,3013602690,PARTRISA LOUISE,07/15/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125590,3014541779,MKFP INTERNATIONAL TRADING INC,07/15/2020,Foods,21 CFR 1.502(b)(1),LACF compliance,"For a low-acid canned food, with respect to microbiological hazards that your supplier must control according to the low-acid food regulations, you did not verify and document that the food was produced according to the low-acid canned foods regulations."
1125590,3014541779,MKFP INTERNATIONAL TRADING INC,07/15/2020,Foods,21 CFR 1.512(b)(1)(i)(A),Definition very small importer,"You chose to comply with the requirements for a very small importer, but you did not document that you meet the definition of a very small importer before initially and annually each year after importing food as a very small importer."
1124684,3013356294,Vista Produce LLC,07/14/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1124703,3006525426,Royal Flavor LLC,07/14/2020,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document the evaluation you conducted to determine a foreign supplier's performance and the risk posed by a food.
1124703,3006525426,Royal Flavor LLC,07/14/2020,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document your approval of your foreign supplier.
1124703,3006525426,Royal Flavor LLC,07/14/2020,Foods,21 CFR 1.506(a)(1),Approved supplier procedures - importer established,You did not establish written procedures to ensure that you import foods only from foreign suppliers you have approved based on an evaluation of the foreign supplier's performance and the risk posed by the food.
1124703,3006525426,Royal Flavor LLC,07/14/2020,Foods,21 CFR 1.506(d)(1)(ii),Verification activity - appropriate,You did not conduct an appropriate supplier verification activity.
1124809,2000035265,"Garland Ventures, LTD DBA Bally Plus Food Solutions",07/14/2020,Foods,21 CFR 117.415(a)(2),Supply-Chain Appropriate Verification Activities,"You did not determine, conduct and document appropriate supplier verification activities."
1124627,3013055434,Interfries Inc.,07/13/2020,Foods,21 CFR 1.502(a),"Maintain, follow FSVP",You did not maintain and follow an FSVP.
1124634,3010774065,Sahaj Foods Corporation,07/13/2020,Foods,21 CFR 1.502(b)(1),LACF compliance,"For a low-acid canned food, with respect to microbiological hazards that your supplier must control according to the low-acid food regulations, you did not verify and document that the food was produced according to the low-acid canned foods regulations."
1124634,3010774065,Sahaj Foods Corporation,07/13/2020,Foods,21 CFR 1.504(d),Review entity's hazard analysis,You did not review and assess the hazard analysis conducted by another entity.
1124634,3010774065,Sahaj Foods Corporation,07/13/2020,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document the evaluation you conducted to determine a foreign supplier's performance and the risk posed by a food.
1124634,3010774065,Sahaj Foods Corporation,07/13/2020,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document your approval of your foreign supplier.
